Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,905
Base Time Seconds,1714751479
Base Time Fractional,.430881960
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.289719421038e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:19,.430881960
2,1.321800209553e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:19,.513551560
3,1.377644639433e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:19,.596214220
4,1.336058176094e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:19,.678862480
5,1.322988828178e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:19,.761511560
6,1.333682575932e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:19,.844173940
7,1.318235899817e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:19,.926826240
8,1.321800482401e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:20,.009473540
9,1.332493775408e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:20,.092118180
10,1.302789405599e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:51:20,.174780800
