Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,765
Base Time Seconds,1714746124
Base Time Fractional,.625915920
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.33363500936e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001069707,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:04,.625915920
2,1.322941170656e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001087240,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:04,.708573560
3,1.324128788838e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001098932,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:04,.791207580
4,1.336011155217e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001098933,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:04,.873837720
5,1.338387392025e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001116467,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:04,.956472140
6,1.263528338313e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001093088,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.039118260
7,1.337199410045e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001110621,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.121763880
8,1.309870094701e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001104776,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.204404520
9,1.341952247458e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001116467,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.287045380
10,1.340764356428e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001104776,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.369692120
11,1.300364328927e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001139842,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.452322520
12,1.3395761016e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001110620,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.534951660
13,1.422752757207e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001087243,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.617586480
14,1.420376338501e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001093087,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.700214900
15,1.377599801344e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001110620,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.782840880
16,1.341952702205e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001104775,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.865487060
17,1.277787396248e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001098933,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:05,.948124420
18,1.33244702738e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001069707,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.030769700
19,1.32175264298e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001087241,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.113402440
20,1.346705266769e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001098933,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.196042240
21,1.318187423749e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001098933,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.278687180
22,1.321752733929e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001081397,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.361325500
23,1.341952793155e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001063863,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.443960140
24,1.35621176014e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001116464,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.526594660
25,1.295611218666e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001110620,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.609225740
26,1.365717162116e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001104777,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.691858180
27,1.296799473494e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001110620,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.774498180
28,1.375223473588e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001075552,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.857126880
29,1.360964415653e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001116464,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:06,.939764820
30,1.311058440479e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001122309,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.022401080
31,1.312246422458e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001098932,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.105040820
32,1.338387664873e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001087243,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.187679900
33,1.339575919701e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001116466,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.270313820
34,1.282540961256e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001069707,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.352959960
35,1.334823082288e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001093087,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.435593020
36,1.328882262897e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001116464,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.518218760
37,1.349082322122e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001122308,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.600846020
38,1.338387846772e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001128154,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.683485920
39,1.360964233754e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001063865,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.766111360
40,1.441764379706e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001098933,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.848744300
41,1.385917130392e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001075555,Amp DC,.01,T,2W,F,F,05/03/2024,14:22:07,.931373360
