Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,510
Base Time Seconds,1714745676
Base Time Fractional,.581891120
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.610477738723e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001128278,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:36,.581891120
2,1.599783354322e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001134122,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:36,.664557340
3,1.616419103811e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001134123,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:36,.747206080
4,1.666326897976e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001128275,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:36,.829844380
5,1.603348391654e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001139965,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:36,.912485940
6,1.60691288329e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001087365,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:36,.995141200
7,1.57482954819e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001116589,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:37,.077790320
8,1.6223604689e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001104899,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:37,.160439880
9,1.574829730089e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001134123,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:37,.243089820
10,1.66038498719e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000001128279,Amp DC,.01,T,2W,F,F,05/03/2024,14:14:37,.325746140
