Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1482
Base Time Seconds,1714748087
Base Time Fractional,.939312580
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.52259326569e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:47,.939312580
2,1.634283034946e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.021962740
3,1.548732689116e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.104604440
4,1.548732871015e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.187242580
5,1.558238363941e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.269885040
6,1.545168561279e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.352524100
7,1.572496876179e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.435159980
8,1.574873203936e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.517790980
9,1.535663068353e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.600419340
10,1.47744149217e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.683067540
11,1.5713087123e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.765710960
12,1.567743856867e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.848348320
13,1.554673872306e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,14:54:48,.930977720
