Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,985
Base Time Seconds,1714748440
Base Time Fractional,.302847520
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.58200491569e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.302847520
2,1.564181911817e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.385517240
3,1.580816206115e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.468163100
4,1.524971594336e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.550816220
5,1.591510044818e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.633453860
6,1.590321699041e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000003,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.716104020
7,1.552299727337e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000003,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.798758420
8,1.553487891215e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000003,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.881406600
9,1.51546591951e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:40,.964050020
10,1.608144521015e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000003,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:41,.046704340
11,1.602203701623e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000003,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:41,.129346500
12,1.593886190676e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:41,.211995180
13,1.564181729918e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000000002,Amp DC,.00000001,T,2W,F,F,05/03/2024,15:00:41,.294649440
