Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,691
Base Time Seconds,1715368073
Base Time Fractional,.750470200
Base Time,05/10/2024 19:07:53.750470200
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
2.321773354197e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000248338,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:53,.750470200
2.101950303768e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000248338,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:53,.833182520
2.261499321321e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000271587,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:53,.915865420
2.221310205641e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000213463,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:53,.998553240
2.009762465605e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000178589,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.081279640
3.390174970264e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000352962,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.163990800
3.101805486949e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000347149,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.246675980
1.960123699973e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000155339,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.329358760
3.04152854369e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000277400,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.412069220
2.922148632933e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000120464,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.494772080
4.689081106335e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000730774,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.577476240
2.123237936758e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000300651,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.660177080
2.112585207215e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000219276,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.742889800
2.079491241602e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000271587,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.825591440
3.221118095098e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000100407,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.908280940
3.392526559765e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000352961,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:54,.990987640
1.960126246559e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000213463,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.073682400
0.05839289724827,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000449157,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.330885900
0.05811114609241,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000553780,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.413627680
0.04431393370032,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000565405,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.496343880
0.04339434579015,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000513093,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.579058880
0.04864872992039,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000484031,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.661764040
0.04527658224106,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000507280,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.744476280
0.04664252325892,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000530530,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.827177220
0.05201932787895,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000507281,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.909881800
0.02830979600549,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000635155,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:55,.992587500
0.05227859318256,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000431718,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:56,.075298880
0.05799365788698,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000425906,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:56,.158017200
0.05679868534207,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000571218,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:56,.240721820
