Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,3789
Base Time Seconds,1715765409
Base Time Fractional,.129937192
Base Time,05/15/2024 09:30:09.129937192
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds,Channel,CH Label
1.2469154919146e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.129937192,,
1.2811556495108998e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.150070799,,
1.2645078487480499e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.170196496,,
1.24585286633375e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.190307071,,
1.27064746321455e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.210423617,,
1.2547080795056e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.252515041,,
1.26285487562355e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.27262895,,
1.2711197412498499e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.292746768,,
1.25553456606785e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.312862223,,
1.25884051231875e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.332983405,,
1.2532912453978e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.375078041,,
1.2757244520992499e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.395205011,,
1.2545900099963e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.415317192,,
1.2620283890603499e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.435431011,,
1.2456167273161e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.455558435,,
1.25494421852325e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.497651041,,
1.2713558802674999e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.517765496,,
1.2443179627176e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.537877496,,
1.25092985521845e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.557993647,,
1.25364545392475e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.578109253,,
1.24833232602145e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.620204041,,
1.2384144872696998e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.640323344,,
1.2620283890603499e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.660439314,,
1.23865062628735e-05,Volt DC,0.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,09:30:09,0.680564556,,
