Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,3220
Base Time Seconds,1715767402
Base Time Fractional,.454693708
Base Time,05/15/2024 10:03:22.454693708
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds,Channel,CH Label
9.031166201062e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.454693708,None,
8.72667297851e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.496785647,None,
9.133078218405e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.516911283,None,
8.941682478516e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.537025859,None,
8.781357475621e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.557141617,None,
8.613575495848e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.577258071,None,
8.628489449605e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.619351647,None,
8.823613677934e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.639464435,None,
8.827342166374e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.659585041,None,
8.691873753075e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.679703162,None,
9.060994108577e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.699823647,None,
8.563862316655e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.741917647,None,
8.709273365792e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.762033768,None,
8.78757162302e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.782157859,None,
8.878298175046e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.802278889,None,
9.026194883142e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.822389920,None,
8.594933053651e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.864483647,None,
8.496749524746e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.884593374,None,
8.66080301608e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.904718162,None,
8.403537313761e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.924831950,None,
8.688145264636e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.944950344,None,
8.66328867504e-06,Volt DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,05/15/2024,10:03:22,.987046647,None,
