value,time
0,8
1,16
2,24
3,32
4,40
5,48
6,56
7,64
8,72
9,80
10,88
11,96
12,104
13,112
14,120
15,128
16,136
17,145
18,153
19,161
20,169
21,177
22,185
23,193
24,201
25,209
26,217
27,225
28,233
29,241
30,249
31,257
32,265
33,273
34,282
35,290
36,298
37,306
38,314
39,322
40,330
41,338
42,346
43,354
44,362
45,371
46,379
47,387
48,395
49,403
50,411
51,419
52,427
53,435
54,443
55,451
56,460
57,468
58,476
59,484
60,492
61,500
62,508
63,516
64,525
65,533
66,541
67,549
68,557
69,565
70,573
71,581
72,590
73,598
74,606
75,614
76,622
77,630
78,638
79,647
80,655
81,663
82,671
83,679
84,687
85,695
86,704
87,712
88,720
89,728
90,736
91,744
92,753
93,761
94,769
95,777
96,785
97,793
98,802
99,810
100,818
101,826
102,834
103,842
104,851
105,859
106,867
107,875
108,883
109,891
110,899
111,908
112,916
113,924
114,932
115,940
116,948
117,956
118,964
119,972
120,981
121,989
122,997
123,1005
124,1013
125,1021
126,1029
127,1037
128,1046
129,1054
130,1062
131,1070
132,1078
133,1086
134,1094
135,1103
136,1111
137,1119
138,1127
139,1135
140,1143
141,1152
142,1160
143,1168
144,1176
145,1184
146,1192
147,1200
148,1209
149,1217
150,1225
151,1233
152,1241
153,1249
154,1258
155,1266
156,1274
157,1282
158,1290
159,1299
160,1307
161,1315
162,1323
163,1331
164,1340
165,1348
166,1356
167,1364
168,1372
169,1381
170,1389
171,1397
172,1405
173,1413
174,1422
175,1430
176,1438
177,1446
178,1454
179,1463
180,1471
181,1479
182,1487
183,1495
184,1504
185,1512
186,1520
187,1528
188,1537
189,1545
190,1553
191,1561
192,1569
193,1578
194,1586
195,1594
196,1602
197,1611
198,1619
199,1627
200,1635
201,1644
202,1652
203,1660
204,1668
205,1677
206,1685
207,1693
208,1702
209,1710
210,1718
211,1726
212,1735
213,1743
214,1751
215,1759
216,1768
217,1776
218,1784
219,1792
220,1801
221,1809
222,1817
223,1826
224,1834
225,1842
226,1850
227,1859
228,1867
229,1875
230,1884
231,1892
232,1900
233,1909
234,1917
235,1925
236,1933
237,1942
238,1950
239,1958
240,1966
241,1975
242,1983
243,1991
244,2000
245,2008
246,2016
247,2024
248,2033
249,2041
250,2049
251,2057
252,2066
253,2074
254,2082
255,2091
